yaw_angle,Time(s),rotor power (W)
270,20245.802301,1801297.4752
270,20245.852301,1881081.43259
270,20245.902301,1876554.43609
270,20245.952301,2037774.66513
270,20246.002301,1974999.75944
270,20246.052301,1906500.55793
270,20246.102301,1858869.46351
270,20246.152301,1840481.47889
270,20246.202301,1825979.38591
270,20246.252301,1862239.38634
270,20246.302301,1842967.54451
270,20246.352301,1840197.7462
270,20246.402301,1811256.87174
270,20246.452301,1778026.64598
270,20246.502301,1731187.01864
270,20246.552301,1919978.54119
270,20246.602301,1902556.95389
270,20246.652301,1958279.9811
270,20246.702301,1960085.26286
270,20246.752301,1963646.27594
270,20246.802301,1963088.13111
270,20246.852301,2000134.22877
270,20246.902301,1981092.35557
270,20246.952301,1911232.77392
270,20247.002301,1860120.72395
270,20247.052301,1778394.05288
270,20247.102301,1888421.31706
270,20247.152301,1877414.92973
270,20247.202301,1901533.72115
270,20247.252301,1867546.03413
270,20247.302301,1899989.01987
270,20247.352301,1938109.75502
270,20247.402301,1898646.04046
270,20247.452301,1867342.56656
270,20247.502301,1866384.48108
270,20247.552301,1864639.84053
270,20247.602301,1793876.70043
270,20247.652301,1909463.06371
270,20247.702301,1882395.4693
270,20247.752301,1911817.52012
270,20247.802301,1882880.26177
270,20247.852301,1908791.25126
270,20247.902301,1977526.54531
270,20247.952301,2039368.6405
270,20248.002301,2024969.04118
270,20248.052301,1979464.54642
270,20248.102301,1921829.39121
270,20248.152301,1858368.40962
270,20248.202301,1943189.77378
270,20248.252301,1879739.69508
270,20248.302301,1896179.74162
270,20248.352301,1857415.36121
270,20248.402301,1883593.39338
270,20248.452301,1919013.73847
270,20248.502301,2002985.42751
270,20248.552301,1962088.61226
270,20248.602301,1961051.0174
270,20248.652301,1988707.6575
270,20248.702301,1935010.33462
270,20248.752301,2052041.55158
270,20248.802301,1988889.6196
270,20248.852301,2006210.28366
270,20248.902301,2076208.07124
270,20248.952301,2132468.22936
270,20249.002301,2119476.2005
270,20249.052301,2137839.6112
270,20249.102301,2089381.80563
270,20249.152301,2000824.17354
270,20249.202301,2039774.39551
270,20249.252301,2016941.05369
270,20249.302301,2128425.98358
270,20249.352301,2098578.23927
270,20249.402301,2087758.97289
270,20249.452301,2065587.90901
270,20249.502301,2058254.44603
270,20249.552301,2052527.78553
270,20249.602301,1978245.81444
270,20249.652301,1854279.50959
270,20249.702301,1789154.55244
270,20249.752301,1839037.917
270,20249.802301,1837501.24388
270,20249.852301,2020965.94197
270,20249.902301,2028639.78324
270,20249.952301,2045505.00344
270,20250.002301,2033476.95135
270,20250.052301,2000914.06387
